de novo biosynthesis of pyrimidine ribonucleotides	CTP synthase (glutamine hydrolyzing)	6.3.4.2	URA8	PMID:9485596|PMID:22419079|PMID:2283036|PMID:9858611
ergosterol biosynthesis	squalene monooxygenase	1.14.14.17	ERG1	PMID:8561481|PMID:8552601|PMID:12119386
superpathway of tetrahydrofolate biosynthesis and salvage	methylenetetrahydrofolate dehydrogenase (NADP(+))	1.5.1.5	ADE3	PMID:8852837|PMID:10871621|PMID:2836393|PMID:1916088
isoleucine degradation	branched-chain-2-oxoacid decarboxylase	4.1.1.72	THI3	PMID:10753893|PMID:8798704|PMID:10989445|PMID:8702755
superpathway of pyrimidine ribonucleotides de novo biosynthesis	carbamoyl-phosphate synthase (glutamine-hydrolyzing)	6.3.5.5	CPA1	
leucine degradation	branched-chain-2-oxoacid decarboxylase	4.1.1.72	THI3	PMID:12499363|PMID:9341119|PMID:9748245|PMID:15933030|PMID:10989420|PMID:8798704|PMID:10989445|PMID:8702755|PMID:9546164
citrulline biosynthesis	carbamoyl-phosphate synthase (ammonia)	6.3.4.16	CPA2	PMID:8626695|PMID:22419079|PMID:205532|PMID:2945985
glutamate degradation I	4-aminobutyrate--2-oxoglutarate transaminase	2.6.1.19	UGA1	PMID:11031268
PRPP biosynthesis	ribose-phosphate diphosphokinase	2.7.6.1	PRS5	
chitin biosynthesis	chitin synthase	2.4.1.16	CHS2	PMID:16760306|PMID:12228806
dolichyl glucosyl phosphate biosynthesis	phosphoglucomutase (alpha-D-glucose-1,6-bisphosphate-dependent)	5.4.2.2	PGM2	PMID:9878760|PMID:23751184
superpathway of pyrimidine ribonucleotides de novo biosynthesis	dihydroorotate oxidase (fumarate)	1.3.98.1	URA1	
L-leucine biosynthesis	3-isopropylmalate dehydratase	4.2.1.33	LEU1	PMID:12626680
mevalonate pathway	hydroxymethylglutaryl-CoA reductase (NADPH)	1.1.1.34	HMG2	
pantothenate and coenzyme A biosynthesis	non-specific polyamine oxidase	1.5.3.17	FMS1	PMID:11154694
dolichyl phosphate D-mannose biosynthesis	dolichyl-phosphate beta-D-mannosyltransferase	2.4.1.83	DPM1	PMID:9878760|PMID:23751184
L-homoserine biosynthesis	aspartate-semialdehyde dehydrogenase	1.2.1.11	HOM2	PMID:1789001|PMID:14745783
inositol phosphate biosynthesis	endopolyphosphatase	3.6.1.10	DDP1	PMID:11956213
phenylalanine degradation	alcohol dehydrogenase	1.1.1.1	SFA1	PMID:12499363|PMID:9491082|PMID:9491083|PMID:12902239|PMID:15933030
NAD salvage pathway V (PNC V cycle)	NAD(+) synthase (glutamine-hydrolyzing)	6.3.5.1	QNS1	PMID:11884393
superpathway of TCA cycle and glyoxylate cycle	succinate dehydrogenase	1.3.5.1	SDH2	PMID:12455685|PMID:20889721|PMID:23966945|PMID:1551398|PMID:1454530
methylglyoxal catabolism	hydroxyacylglutathione hydrolase	3.1.2.6	GLO2	PMID:8824231|PMID:9261170
superpathway of phosphatidate biosynthesis		2.3.1.n7	SLC1	PMID:24520995|PMID:17726007|PMID:22090344|PMID:10542045
galactose degradation	UDP-glucose--hexose-1-phosphate uridylyltransferase	2.7.7.12	GAL7	PMID:14764091|PMID:18779058|PMID:8119301
stearate biosynthesis III (fungi)	beta-ketoacyl-[acyl-carrier-protein] synthase I	2.3.1.41	CEM1	
glutamate biosynthesis from ammonia	glutamate dehydrogenase (NADP(+))	1.4.1.4	GDH1	PMID:9287019|PMID:11562373
superpathway of threonine and methionine biosynthesis	aspartate-semialdehyde dehydrogenase	1.2.1.11	HOM2	
myristate biosynthesis	3-hydroxyacyl-[acyl-carrier-protein] dehydratase	4.2.1.59	FAS1	
salvage pathways of adenine, hypoxanthine and their nucleosides	purine-nucleoside phosphorylase	2.4.2.1	PNP1	PMID:17052198|PMID:1577682|PMID:11223943|PMID:15565584|PMID:9864350|PMID:10217799|PMID:22419079
NAD salvage pathway IV (from nicotinamide riboside)	nicotinamide-nucleotide adenylyltransferase	2.7.7.1	NMA2	PMID:15137942
asparagine degradation	aspartate transaminase	2.6.1.1	AAT1	PMID:10640599|PMID:17308034
palmitate biosynthesis	3-oxoacyl-[acyl-carrier-protein] reductase	1.1.1.100	OAR1	
L-tryptophan biosynthesis	phosphoribosylanthranilate isomerase	5.3.1.24	TRP1	PMID:6323449|PMID:10790693|PMID:1943992
L-homoserine biosynthesis	aspartate kinase	2.7.2.4	HOM3	PMID:1789001|PMID:14745783
L-cysteine biosynthesis III (from L-homocysteine)	cystathionine gamma-lyase	4.4.1.1	CYS3	PMID:10509018|PMID:15042590
superpathway of phospholipid biosynthesis	diacylglycerol cholinephosphotransferase	2.7.8.2	EPT1	PMID:16807089|PMID:9885152|PMID:24520995|PMID:24866973
folate interconversions	glycine hydroxymethyltransferase	2.1.2.1	SHM1	PMID:8852837|PMID:10871621|PMID:2836393|PMID:1916088
folate interconversions	methenyltetrahydrofolate cyclohydrolase	3.5.4.9	ADE3	PMID:8852837|PMID:10871621|PMID:2836393|PMID:1916088
L-tyrosine degradation III	aromatic-amino-acid transaminase	2.6.1.57	ARO8	PMID:13750129|PMID:13546168|PMID:9491082|PMID:9491083
TCA cycle, aerobic respiration	succinate dehydrogenase	1.3.5.1	SDH1	PMID:8099357|PMID:12855708|PMID:9395469
urea degradation I				
de novo biosynthesis of pyrimidine ribonucleotides	dihydroorotase	3.5.2.3	URA4	PMID:9485596|PMID:22419079|PMID:2283036|PMID:9858611
pyruvate fermentation to acetoin III	indolepyruvate decarboxylase	4.1.1.74	PDC5	PMID:16535224|PMID:2404950|PMID:6383467
ergosterol biosynthesis I	sterol 22-desaturase	1.14.19.41	ERG5	
biotin biosynthesis	adenosylmethionine--8-amino-7-oxononanoate transaminase	2.6.1.62	BIO3	PMID:12658511|PMID:18073433|PMID:16269718|PMID:10333520|PMID:8117110
L-proline biosynthesis I	glutamate-5-semialdehyde dehydrogenase	1.2.1.41	PRO2	PMID:12513997|PMID:2824433
glutaryl-CoA degradation	very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase	4.2.1.134	PHS1	
aerobic respiration, electron transport chain	succinate dehydrogenase	1.3.5.1	SDH2	
